id,body
1,독서
2,글쓰기
3,영화감상
4,드라마시청
5,음악감상
6,공연관람
7,전시관람
8,사진촬영
9,영상편집
10,그림그리기
11,악기연주
12,노래부르기
13,요리
14,베이킹
15,커피
16,와인
17,운동
18,요가
19,필라테스
20,헬스
21,러닝
22,등산
23,여행
24,캠핑
25,드라이브
26,게임
27,보드게임
28,퍼즐
29,공예
30,DIY
31,식물키우기
32,반려동물케어
33,공부취미
34,외국어
35,재테크
36,콘텐츠제작
37,SNS
38,봉사활동
39,전통문화
40,신기술
41,IT트렌드
42,AI관심
43,UX관심
44,디자인
45,기획
46,마케팅
47,데이터
48,통계
49,사진편집
50,영상촬영
51,브이로그
52,블로그
53,글쓰기연습
54,악기감상
55,클래식
56,재즈
57,힙합
58,팝
59,인디음악
60,전시
61,문화탐방
62,역사탐방
63,미술사
64,문학
65,철학
66,심리학
67,경제
68,과학
69,환경
70,정치
71,사회이슈
72,언어학
73,교육
74,멘토링
75,튜터링
76,강의시청
77,온라인강의
